year,industry_group,new_registrations
2019,Beauty & Personal Care,31
2019,Construction,155
2019,Food & Beverage,70
2019,Healthcare,67
2019,Professional Services,162
2019,Real Estate,235
2019,Retail,179
2019,Technology,104
2020,Beauty & Personal Care,27
2020,Construction,151
2020,Food & Beverage,122
2020,Healthcare,76
2020,Professional Services,161
2020,Real Estate,251
2020,Retail,209
2020,Technology,137
2021,Beauty & Personal Care,49
2021,Construction,195
2021,Food & Beverage,194
2021,Healthcare,109
2021,Professional Services,136
2021,Real Estate,509
2021,Retail,395
2021,Technology,227
2022,Beauty & Personal Care,41
2022,Construction,196
2022,Food & Beverage,195
2022,Healthcare,104
2022,Professional Services,158
2022,Real Estate,298
2022,Retail,295
2022,Technology,170
2023,Beauty & Personal Care,43
2023,Construction,196
2023,Food & Beverage,246
2023,Healthcare,175
2023,Professional Services,189
2023,Real Estate,452
2023,Retail,350
2023,Technology,289
2024,Beauty & Personal Care,39
2024,Construction,194
2024,Food & Beverage,357
2024,Healthcare,269
2024,Professional Services,217
2024,Real Estate,431
2024,Retail,471
2024,Technology,272
2025,Beauty & Personal Care,40
2025,Construction,160
2025,Food & Beverage,268
2025,Healthcare,237
2025,Professional Services,193
2025,Real Estate,296
2025,Retail,370
2025,Technology,223
2026,Beauty & Personal Care,20
2026,Construction,54
2026,Food & Beverage,97
2026,Healthcare,110
2026,Professional Services,54
2026,Real Estate,97
2026,Retail,150
2026,Technology,86
